,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,B99,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,EU27_2020,EXT_EU27_2020,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KCMD_905b,KCMD_927b,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TOTAL,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UN_1500,UN_1501,UN_1502,UN_1503,UN_1517,UN_1518,UN_1636,UN_1637,UN_1829,UN_1830,UN_1832,UN_1833,UN_1835,UN_5500,UN_5501,UN_900,UN_901,UN_902,UN_903,UN_904,UN_905,UN_906,UN_908,UN_909,UN_910,UN_911,UN_912,UN_913,UN_914,UN_915,UN_916,UN_920,UN_921,UN_922,UN_923,UN_924,UN_925,UN_926,UN_927,UN_928,UN_931,UN_934,UN_935,UN_941,UN_947,UN_948,UN_954,UN_957,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
BIH,402,5,31059,0,57956,37,152,0,8228,28382,604,0,10,6764,1,7,168,50287,3756,15,0,217,0,1,2,212,10,9,0,3,20,6946,54373,86,16195,12,21,12,10,40,0,0,5,11,1,519,2857,181916,23,0,17088,65,371,4,2180,0,5274,433,68,0,0,2078,0,9376,0,9,17944,746,41,0,1,2,0,0,1988,0,2,288,2,419093,1,2460,199,2713,1473,644,1587,236,3137,434226,3,1931,4573,377,0,0,158,152,22,0,1,42473,19283,5,878,22,213,0,288,0,377,1073,492,0,302,363,9,113,138,0,14329,58,906,20,25,24,5,16,10,549,1,3,102,0,0,32081,16303,87,0,82,2630,1236,16,7,79,0,8,2873,0,1431,3,0,5312,15412,10037,53,21795,219,7,365,0,4,0,0,59,0,3,4361,93685,105152,0,30,0,0,3,0,391,52,23,0,0,0,2,412,148790,0,131,124,3801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39136,39,0,0,0,205,0,0,0,420,18,16
BLR,63,225,20,0,9174,131,9699,0,1375,32461,23085,0,1,5677,0,21,187,95128,381,10,148,0,0,2,5,461,14,5,0,1,1,4658,13096,83,22156,29,105,30,11,207,1,9,8,398,0,18386,24304,68910,12,2,3240,188,245,438,53993,0,29163,2881,52,0,0,6783,5,26294,0,8,20804,37226,95,11,5,4,0,23,3299,30,0,1140,1,12998,6,7302,857,9166,922,5676,2364,52,35171,53306,25,1203,1331,64365,0,0,134,4187,93,0,2,1609,577,49,4699,0,7,0,3429,0,177754,446,154761,19,326,3102,5,753,2174,0,177,19,539,196,368,39,10,100,0,2888,60,3,616,11,0,23340,1599,50,0,173,238,878,80,757,258,1,0,3520992,7,1822,1,0,613,53684,665656,8,522,200,65,588,0,18,3,0,2,0,0,9896,1109,10216,0,300,0,0,5,6,3698,1390,19140,0,0,0,6,325,114642,0,56,43,1827485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33110,14875,0,615,0,1399,0,0,1,501,22,28
BLZ,2,2,2,0,21,635,0,138,289,242,0,0,0,276,0,8,4,18,3,332,0,1,0,103,235,535,1060,0,0,4,0,23513,716,356,322,1,4,0,0,1227,0,0,4315,674,307,6,184,1424,0,39,274,617,0,413,5,0,709,12,5,0,0,25,15,2186,0,1,8529,7,13,3,0,0,0,1,31,28627,340,225,7004,19,2,54,18,352,241,1,1,5,88,1615,1572,9,439,1,0,0,24,0,0,0,167,44,5,0,9,0,0,236,11,1,26,27,21,0,17,0,0,0,10520,0,2,0,9,0,0,1,0,9,0,12,5,0,77,2228,0,1589,190,13,0,59,2,7,2713,511,105,0,0,106,0,46,71,0,14,25,27,0,8,0,0,24,0,1,8106,0,0,0,75,0,3,306,0,0,0,72,0,0,56,0,0,0,0,0,978,2,40,0,4,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,351912,0,78,164,36,2,0,5,0,94,1,6
BMU,0,0,0,0,259,232,0,172,519,262,0,0,0,156,1,2,109,16,7,1417,1,2,134,0,22,473,1195,0,0,0,0,50682,2195,115,116,2,0,2,0,349,0,0,516,118,1590,18,77,2332,0,13,532,754,2,229,75,0,1089,30,6,0,0,144,14,1785,0,0,47614,4,23,25,0,0,0,0,94,64,80,264,33,52,155,64,167,1185,1528,3,1,27,38,1923,2937,1,393,3,0,0,107,0,6,0,284,80,3,0,18,0,0,206,315,0,18,72,0,1,70,1,6,0,852,0,1,0,138,3,0,5,0,29,3,70,4,0,28,33,0,743,409,84,0,327,109,14,363,100,1928,0,0,130,0,2364,5,0,34,340,73,0,15,0,0,216,1,0,45,0,0,0,39,0,8,401,0,2,0,294,0,2,206,0,0,0,0,0,761,0,56,0,30,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,425140,0,79,15,254,9,0,0,0,333,2,17
BOL,6,16,5,0,555,668119,4,7,1325,876,4,0,3,2793,3,4,29,20,7,145,0,1,212,11,0,211280,88,0,0,2,4,12990,5004,522177,7254,29,35,3,4,48315,0,6,2953,11056,84,2,331,10758,0,1,1210,19008,62,20859,187,0,85292,5,67,0,0,293,2,8946,0,7,6385,1,22,0,8,1,3,67,82,1572,60,549,789,28,198,122,64,603,374,26,50,10,349,11252,315,69,16897,9,0,0,40,3,1,0,0,1191,25,2,124,3,2,11,35,4,15,177,26,0,66,1,6,11,31138,0,11,5,12,8,7,20,2,6,12,50,7,1,14,923,0,3082,557,32,0,474,35,15,8660,313722,103,1,17,334,0,913,30230,0,73,30,780,10,34,6,89,39,0,3,1102,0,0,6,117,0,6,2342,0,0,0,22,0,13,137,3,0,0,0,0,194,10,199,0,23,49,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677,162974,0,0,11259,7,12,1,0,0,267,15,6
BRA,100,68165,462,0,42266,3182760,379,155,97019,102317,575,0,93,77718,465,233,1140,9118,724,5066,198,434,520,499,211280,0,5144,42,0,475,997,184364,157607,907026,151176,1044,968,625,1110,317044,8,15649,32092,39589,577,1034,64831,488363,13,71,36507,139137,834,49723,12688,7,520605,5015,2897,0,0,13249,331,356441,13,319,389316,542,2606,58,785,55,1802,855,22307,8311,1893,32497,3274,51129,10581,11811,7361,44535,47949,5453,1005,792,69080,675776,3918,3387,116642,1255,0,0,2733,101,301,24,161,68154,647,158,20232,112,12,225,848,44,4730,7261,2228,65,37349,144,515,3494,402048,5,240,360,4873,498,305,10573,235,1949,325,10531,2040,57,15309,5237,0,125877,42311,573,0,28870,797,2026,88019,262572,18293,13,158,53041,3,757567,519660,0,5268,14659,51071,175,3253,346,2335,24011,6,457,8529,0,19,528,25506,9303,12871,30947,0,489,37,1548,68,894,67194,16,42,0,11,0,4232,3205,51946,0,1167,671,10289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716555,2698585,167,110,160526,178,2051,1,66,0,62879,817,724
BRB,2,1,6,0,241,518,3,41079,2561,1282,27,0,0,708,1,2,17,156,7,3760,8,9,946,1332,77,5060,0,2,0,12,0,92125,2703,303,1130,8,5,6,0,3833,0,3,539,776,1803,31,213,13598,0,37620,1011,2140,1,284,164,0,2436,32,9,0,0,617,26,1808,0,5,237856,19,52,12,0,226,0,0,195,298,39886,116,194,137,686,188,275,2093,3172,8,3,17,251,4310,17696,10,136,36,0,0,72,11,4,1,8611,194,21,0,18,1,0,53594,47,1,43,83,130,0,71,3,13,7,1357,1,9,8,105,5,0,4,0,95,10,99,84,1,1670,169,0,1514,707,36,0,521,9,48,1777,283,1416,0,4,348,0,339,84,0,44,206,959,10,74,1,4,86,3,102,246,5,0,0,1361,29,13,1541,0,401,0,828,0,0,140,0,0,0,6,0,94843,25,174,0,43,25,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,306276,2,93943,1869,7642,6,8,17,0,715,20,17
BRN,0,9,0,0,7072,23,0,0,15959,86,6,0,0,280,0,0,19677,16,123,0,12,6,0,0,0,28,3,0,0,1,0,2543,211,0,48170,12,14,0,0,11,0,0,2,0,2,35,75,909,1,0,234,0,12,0,462,0,164,10,5,0,0,9,42,935,0,8,16768,1,3,4,0,0,0,0,55,0,0,29990,4,81,0,21,73109,13012,106,22,15,2,0,400,0,295,7506,30,0,0,15,0,1893,0,0,8198,100,1217,73,0,0,0,1132,0,25,6,7,479,107,0,0,55,6,0,29,0,23,1911,16,0,0,5,2,1445390,0,0,107,0,0,1384,170,3289,0,2878,520,427,0,2,80851,1,92,81,0,46,0,0,265,44,389,0,7633,15,0,121696,7,3,0,0,0,0,0,0,7,69,0,2,0,1,0,0,38257,0,0,0,1,0,25,14,590,0,8,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4656,3,0,7,0,17055,0,1,0,110,3,0
BTN,2,0,0,0,19,0,0,0,2888,3,12,0,0,1620,0,0,19276,0,0,11,0,0,0,0,0,0,0,2,0,0,0,1183,14,86,9932,0,0,1,0,61,0,0,38,0,0,0,0,33,0,0,10,0,0,9,18,0,0,0,2,0,0,0,4,4,0,0,4,12,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,153338,9,0,0,0,227,0,0,1,1162,15,0,0,2,2,236,0,0,1519,498,90,0,9,0,0,490,0,0,0,0,0,0,0,0,6,377,0,0,0,0,39,13,0,0,19,0,2515,0,0,0,0,0,54,6,62067,0,231,2,24,0,0,307,0,0,0,0,0,0,0,1,0,282,0,22,0,0,151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13527,0,0,0,0,0,0,0,7,0,7,162,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7973,3,0,0,0,28,0,0,0,91,0,0
BWA,7,1222,4,0,2753,54,2,5,2480,656,11,0,45,1372,82,93,627,142,32,9,1,5,0,16,1,485,17,1,0,0,4,1485,3095,67,7575,268,303,480,149,35,76,18,13,32,3,225,243,5297,33,1,644,5,51,17,380,45,1084,21,1570,0,0,203,12,2929,0,83,11926,6,939,1,32,37,10,29,193,1,8,1834,0,77,0,132,97,13468,551,35,32,15,1268,2062,20,73,824,16,0,0,6819,0,14,0,1,2840,52,4,150,79,8,1,1400,2590,8,73,21,1,249,3,628,91,62,0,5,52,35,8,3,4539,19,2965,2136,385,9993,25,2271,1,0,1734,353,23,0,280,53,1044,3,18,327,0,8,229,0,336,4,0,260,56,574,535,153,68,310,582,2,122,1,0,2,1,0,2,12,808,0,888,0,0,20,52,788,0,0,0,4,0,25,106,458,0,3568,1684,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11817,1,0,2,0,30,0,2,0,227795,9228,9732
CAF,19,648,3,0,588,2,3,0,152,203,1,0,542,770,1598,735,176,26,5,0,20,0,0,0,11,964,0,0,0,4,0,274,1108,10,549,2370,56749,654,6141,16,11,12,2,0,0,4,77,462,22,0,89,15,77,5,376,0,642,0,396,0,0,41,0,10712,0,883,538,20,364,0,213,35,15,83,23,4,0,34,2,22,89,84,43,431,66,1,7,2,185,2101,27,149,16,60,0,0,2047,0,37,0,0,59,11,3,415,66,0,0,75,1,4,25,0,0,2560,7,127,0,17,0,125,713,5,7,0,30,363,34,8,4,8,534,323,2,0,596,50,57,0,1,14,119,1,49,78,0,29,106,0,168,6,0,54,92,178,1336,69,343,2005,6,0,41,2,0,5,14,0,0,11,147,0,6,0,0,368,1298,71,2,0,0,0,0,0,251,159,0,204,1218,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2264,0,0,0,0,33,0,0,0,743,171,84
CAN,6847,2080,18254,0,118675,309180,4546,23799,485557,143062,3882,0,1476,120433,4178,5270,38307,22308,6017,158570,7726,4817,23513,50742,12990,184364,92125,2543,1183,1311,305,0,241613,65313,1350927,8109,10793,6411,1335,102856,87,102,198000,1825711,33143,6679,106421,646149,1498,3691,128664,976103,100803,42390,76995,2099,474172,6978,25593,0,0,28317,12947,1671145,256,1196,1661255,4639,15673,369,3219,593,69,395,166435,39445,43570,441570,14186,117455,50711,61880,108450,595098,241879,121217,15558,139219,138196,860084,502675,34871,576939,7480,0,0,24579,2406,61828,68,7704,420187,48654,19469,101358,994,219,39641,54134,1162,6390,10871,6728,75892,112512,9351,2560,7695,2416180,35,5916,3713,12506,15504,3994,1054,1354,10578,38211,85988,8734,5776,45519,41935,4,281211,53580,14757,1,120191,32413,131701,40937,85892,323701,106,2373,162106,1,203410,5821,0,17087,70072,63680,7618,104649,5984,10787,134749,234,1448,27241,2882,2422,13,4489,17585,21571,67542,4283,1132,0,59985,1643,2444,240350,478,221,0,251,0,100721,41627,103602,1,20999,11585,48607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10394,33183408,923,10483,17933,1957,142143,100,372,10,82691,6040,5687
CHE,1874,3471,19167,0,208337,30953,7810,329,223549,1653391,7800,0,1091,615139,2228,3671,7130,99097,8104,4849,53159,13063,563,1894,4863,157607,2094,245,13,2774,1105,241613,0,20689,179227,8626,13180,5104,1948,29674,119,13748,17495,55287,662,110214,261721,5133178,704,148,438754,51908,117332,11007,163510,521,4049828,25723,9277,0,0,186537,917,6807833,28,1581,4493867,14066,6826,88,2189,2120,391,301,759386,3660,135,1024828,1427,247262,1524,344480,66220,199018,308632,34544,12614,70409,280309,3856475,2883,19088,246883,13176,0,0,29561,4556,10903,2,187,314665,20158,2789,58178,797,100,586,51921,357,34205,95553,48823,88,232436,9387,6317,49579,57251,5,188664,2372,84061,10824,4116,2689,972,55697,1245,30833,12408,1711,12985,3256,1,962017,191406,9989,1,17514,128527,14212,7586,19654,35915,190,562,353399,30,1421813,2587,0,20024,125385,351616,3567,72247,4771,17806,101428,51,1058,1103,0,683,297,243,37823,59880,416270,0,13833,0,519,1407,2659,284087,1055,624,0,72,0,1032,88303,951660,0,19624,6293,86968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4329,1368185,3200,84,3824,573,32853,103,147,2,95754,3987,4067
CHL,30,330,41,0,2165,3949188,114,94,73898,6352,92,0,6,18821,8,13,74,1839,78,1884,105,73,233,99,522177,865951,289,0,86,55,12,65313,21011,0,45937,44,39,21,5,584640,0,9,20627,72692,122,117,2140,71016,2,71,8054,162940,102,91037,2206,0,169164,239,98,0,0,3525,115,54018,2,11,100560,172,119,4,25,1,1,49,3420,5462,192,6964,1773,1282,5086,1043,1826,8975,2093,479,337,137,25470,107953,5754,1423,23534,201,0,0,408,2,6252,0,96,20903,159,3,539,6,2,160,586,14,193,732,237,3,6365,19,35,312,195725,3,23,13,218,91,69,363,101,125,8,5429,104,2,1051,2890,0,16315,7178,1041,0,27030,43,522,26868,1459485,3094,3,20,2670,0,6902,51156,0,429,3259,13166,34,256,8,72,6612,6,11,4594,532,0,0,241,15,117,17177,0,20,0,388,3,4,4785,1,7,0,5,0,702,126,10117,0,185,70,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103148,562891,4,35,83651,98,496,4,7,0,6635,154,65
CHN,8573,44226,9454,0,533484,34959,8595,1051,1872168,797461,21827,0,2041,214304,13669,7584,168430,41976,12797,4016,16195,22227,342,130,6964,151176,1130,48170,9932,7198,583,1350927,173719,45937,0,11949,19902,19466,20817,51090,596,769,20017,45442,246,16999,388531,1986647,4107,1319,129241,5541,117959,31743,262309,470,402169,19936,81716,0,0,124977,53685,2508310,2932,10409,1055570,23980,22443,293,8704,426,234,7193,77409,1051,1266,98424336,714,123664,200,69513,2189684,1050447,44881,226633,58017,69617,162097,723710,10701,67242,9071418,342871,0,0,72321,81541,879897,36,64,14316077,31890,629096,26792,2358,185,25,331905,7637,21528,38647,8827,43958808,60365,2614,10399,332038,197062,119,9804,18067,4431,2926730,1473620,17785,5686,103516,2369,3288811,15165,6086,260371,1693,150,219959,351310,187322,4,545039,24182,217682,31779,45670,1810402,65134,14419,179942,90634,233254,2226,0,38915,78489,3264630,9405,160332,34238,12900,3785556,1505,5069,5556,20891,292,11,6822,54932,51566,108983,3178,17201,25,10,9632,6374,9570168,51357,33397,8241,2394,0,5140,15398,243773,529,56330,35689,180038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3756,5220016,76172,21,52539,38,5864121,3274,1165,261,183649,27600,9907
CIV,23,1426,17,0,11193,64,15,2,962,845,82,0,764,12951,42688,45502,394,224,66,8,20,56,0,2,43,1019,6,8,0,269,2223,9447,9395,27,11247,0,35224,4267,10342,253,149,605,50,34,2,245,199,7300,189,0,818,81,3495,51,2611,43,8359,51,4392,0,0,168,10,181483,0,16958,13507,178,43617,0,23125,1263,2055,899,407,14,6,1016,40,482,146,171,591,8340,276,378,72,7,1715,19782,36,554,880,45,0,0,5974,20,51,0,1,1153,372,32,30418,8160,8,3,160,80,85,570,213,3,48548,82,1442,98,219,0,21,43707,150,136,3,731,4064,1092,221,728,369,13354,55096,7,0,3099,751,60,0,58,79,673,63,80,2167,0,8,819,0,2253,12,0,226,594,1296,1399,2594,528,71314,902,0,5434,53,0,38,24,7,2,40,778,0,2041,0,0,3526,33442,760,0,1,0,0,0,55,23934,5301,0,1352,1565,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23637,9,0,19,1,469,7,2,0,12994,1569,790
CMR,14,1793,43,0,33037,97,23,1,344,808,186,0,1094,22231,92632,4037,183,306,143,8,35,153,3,2,55,1017,2,18,0,309,58425,13898,13724,57,20068,40427,0,12212,77907,101,154,123,40,122,2,979,244,24427,136,3,953,52,1305,205,2712,35,6810,33,4827,0,0,508,18,151237,1,89278,13050,131,7852,9,2190,558,241,46646,837,8,6,1712,65,362,119,516,411,4901,659,273,102,13,1371,15024,12,233,1027,53,0,0,7365,17,59,0,0,1494,1142,20,3415,498,22,15,88,113,132,700,52,2,10587,32,1106,13,359,0,32,3902,188,51,6,910,595,624,229,546,346,2777,42631,6,0,1939,907,35,0,29,296,308,60,108,1563,3,5,786,0,1488,5,0,719,520,1691,3385,2440,629,14063,523,0,420,1,0,18,295,6,21,57,1138,0,195,0,0,44970,6772,1525,9,0,0,0,0,69,5158,8470,0,1757,2027,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43874,14,4,63,0,710,2,3,1,13591,951,605
COD,17,3734,18,0,13540,34,8,0,757,473,19,0,727,38088,1814,756,213,70,11,0,20,44,0,1,1,785,3,0,0,537,586,7441,5318,26,20277,3977,11411,0,6736,97,25,15,11,50,0,208,106,5109,57,0,408,12,301,13,1323,13,2504,6,4957,0,0,135,2,40820,1,5131,9262,58,1572,2,686,153,116,107,2430,3,2,1811,0,47,114,166,455,20627,303,76,29,13,1314,6159,3,92,918,28,0,0,9562,7,32,0,0,848,73,11,5382,120,2,2,45,235,33,172,27,3,2931,22,808,36,58,0,14,1115,26,17,5,683,309,888,216,136,553,546,3522,2,0,1295,344,75,0,42,105,2008,17,112,851,0,9,283,0,992,1,0,55,306,724,1656,138,444,2932,124,0,100,0,0,22,15,0,2,71,1366,0,81,0,0,846,1420,655,0,1,0,0,0,1,2087,5324,0,3046,4014,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,18280,4,0,6,0,78,0,1,0,43599,1417,1660
COG,0,7629,0,0,32651,34,6,0,260,283,36,0,380,5481,36958,1611,28,190,9,7,7,19,0,0,3,1170,0,0,0,179,7480,1474,2040,13,20817,9522,80227,6059,0,102,54,189,4,239,0,107,94,1352,37,0,295,1,1133,28,1121,11,1892,15,4687,0,0,61,15,70788,0,49492,7105,14,1683,3,603,70,94,1292,269,9,1,686,60,721,15,58,568,3764,110,44,9,0,1038,9174,0,59,147,22,0,0,2875,4,11,0,0,726,73,6,11890,82,22,4,15,38,119,112,165,1,13685,6,503,3,93,0,34,25601,92,37,4,423,1610,457,90,1573,487,652,51005,4,0,1462,1603,85,0,10,16,230,4,55,2472,0,16,800,0,2094,1,0,56,907,1061,4647,270,219,12584,334,0,159,1,0,6,86,0,4,24,226,0,85,0,0,1962,2280,641,0,0,0,0,0,46,1855,3671,0,1646,645,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5454,1,0,72,0,116,0,1,0,12653,360,412
COL,58,576,491,0,9201,255000,149,221,28365,6462,673,0,12,18559,116,16,129,2165,402,3778,37,207,1195,383,48315,317044,3751,20,61,37,19,103129,30347,637644,51090,297,74,98,112,0,0,14,117425,60681,733,180,2179,70747,6,263,6967,141354,234,485989,3554,0,398124,238,219,0,0,1681,37,67447,0,47,71987,554,328,4,17,1,20,129,2147,60213,1045,5733,24373,791,1876,971,608,11676,2630,614,380,81,20668,87818,5163,1087,16098,290,0,0,789,13,3526,1,150,12624,966,54,2415,18,0,197,659,13,299,1175,259,2624,4219,11,56,507,629895,0,41,72,1162,100,31,140,32,124,31,1951,44,3,627,19611,0,33237,4347,54,0,4574,303,115,425305,329809,5164,0,19,2999,0,12214,25160,0,264,3562,14733,79,1586,24,113,4949,25,35,43861,227,3,0,2865,10,221,9507,0,87,0,239,18,24,2096,1,25,0,3,0,5902,139,21473,2,850,172,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22274,2072903,40,99,444206,166,429,0,0,0,3486,71,47
COM,0,0,0,0,1751,1,0,0,43,15,3,0,12,64,40,59,5,10,19,0,0,1,0,0,0,10,0,0,0,49,3,88,121,0,623,181,174,21,46,0,0,4,1,0,0,10,0,120,62,0,10,0,7,3,363,0,27,35,326,0,0,0,0,25089,0,8,324,6,31,0,7,2,0,9,348,0,0,16,0,11,2,5,14,762,7,5,2,0,1,86,0,22,4,3,0,0,17141,0,1,0,0,16,61,0,63,2,0,0,409,11,10,6,16,0,190,0,31610,3,4,0,0,58,0,0,0,69,15,928,17,40,12,140,24,0,0,355,4,16,0,3,150,96,0,0,143,0,0,90,0,20,0,0,129,15,46,103,1183,398,506,4,0,1,0,0,1,0,0,0,0,9,0,200,0,0,7,31,55,0,0,0,0,0,0,54,67,0,25211,126,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,1,0,0,15,511,124,37
CPV,2,3214,49,0,91,28,0,0,19,1450,2,0,11,62593,204,303,3,14,3,2,0,2,0,0,4,11227,5,0,0,15,61,106,13696,14,873,727,120,19,95,9,2,0,3,2594,0,5,211,10414,3,5,451,8,99,5,309,1,35919,11,106,0,0,115,2,59021,0,54,26120,4,507,4,108,97,4531,207,79,1,1,27,1,58,10,198,390,119,42,2,0,8,25,19918,5,28,40,1,0,0,157,1,0,0,0,27,7,1,58,94,0,0,23,5,15,6107,51,1,2890,8,10,0,749,0,6,99,26,3,0,499,97,90,9,5,60,142,870,13,0,44511,845,3,0,1,1,4,19,52,185,0,2,145,0,165972,0,0,19,122,289,32,8,11,24141,42,0,104,12,0,1,2544,7,0,9,521,0,7,0,0,18,171,24,0,0,0,0,0,0,184,186,0,41,19,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22453,0,1,2,0,18,0,0,0,1169,14,12
